,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
568,59084.380083,-21.985,1.581,-6,9,o,0,0.72,329.82726,-6.99383,3835.28,6343.53,2.27,1.97,-5.0,-0.405,19.69,21.14,01a59084o0340o
569,59084.385614,-21.913,1.224,-6,8,o,0,1.48,329.82726,-6.99383,3895.41,6422.01,2.23,2.01,-19.5,-0.394,19.69,21.13,01a59084o0352o
570,59084.394842,-21.027,0.595,-14,8,o,0,1.0,329.82726,-6.99383,3915.35,6306.12,2.19,2.02,-15.0,-0.398,19.68,21.15,01a59084o0372o
571,59088.438368,20.465,0.681,24,16,o,0,1.07,329.82726,-6.99383,6452.68,8523.58,3.91,2.66,0.7,-0.346,19.02,20.51,01a59088o0470o
572,59088.459726,-20.367,0.477,-26,12,o,0,1.05,329.82726,-6.99383,6476.51,8560.9,2.88,2.25,0.5,-0.383,19.33,20.66,01a59088o0514o
573,59088.463913,-21.037,0.879,-14,12,o,0,1.06,329.82726,-6.99383,6416.36,8484.05,2.56,2.13,-4.6,-0.392,19.48,20.75,01a59088o0523o
574,59088.469462,20.641,0.5,20,10,o,0,1.48,329.82726,-6.99383,6399.48,8600.46,2.58,2.16,-1.8,-0.392,19.53,20.9,01a59088o0535o
575,59090.418834,22.363,4.844,4,20,o,0,1.0,329.82726,-6.99383,1988.51,8409.18,2.36,2.3,23.5,-0.411,18.94,19.68,02a59090o0387o
576,59090.424364,-20.895,1.351,-16,22,o,0,0.84,329.82726,-6.99383,1969.67,8370.9,2.27,2.22,-35.5,-0.427,18.96,19.69,02a59090o0399o
577,59090.428027,-21.653,2.588,-8,20,o,0,0.98,329.82726,-6.99383,2027.9,8449.61,2.27,2.14,36.7,-0.425,18.95,19.69,02a59090o0407o
578,59090.457325,-20.412,0.767,-25,19,o,0,1.21,329.82726,-6.99383,2040.47,8335.4,2.31,2.18,42.7,-0.406,18.93,19.52,02a59090o0470o
579,59096.457195,-19.692,0.391,-48,19,o,0,0.88,329.82726,-6.99383,4531.81,8634.08,1.69,1.65,-34.7,-0.433,18.98,19.08,01a59096o0446o
580,59096.462736,-20.195,0.599,-30,18,o,0,1.26,329.82726,-6.99383,4551.48,8671.06,1.73,1.68,-27.2,-0.426,18.9,19.01,01a59096o0458o
581,59096.4698,-20.567,0.812,-22,18,o,0,1.11,329.82726,-6.99383,4493.5,8594.0,1.72,1.65,-21.7,-0.432,18.87,18.93,01a59096o0473o
582,59096.480007,-20.409,0.692,-25,17,o,0,0.96,329.82726,-6.99383,4476.2,8711.27,1.7,1.64,-45.4,-0.436,18.89,18.96,01a59096o0495o
583,59098.436413,20.164,0.614,31,19,o,0,0.89,329.82726,-6.99383,2071.04,10369.22,2.23,1.97,-63.6,-0.468,18.99,19.58,02a59098o0474o
584,59098.440134,22.704,6.259,3,19,o,0,1.1,329.82726,-6.99383,2050.94,10327.36,2.15,1.92,-60.9,-0.471,19.01,19.59,02a59098o0482o
585,59098.445669,-19.95,0.517,-38,20,o,0,0.84,329.82726,-6.99383,2109.36,10407.47,2.25,1.91,-59.4,-0.457,19.01,19.64,02a59098o0494o
586,59098.459969,-20.352,0.523,-26,14,o,0,1.8,329.82726,-6.99383,2129.68,10289.53,2.24,1.88,-54.1,-0.465,19.11,19.79,02a59098o0525o
587,59098.470114,-22.839,5.786,-3,15,o,0,1.28,329.82726,-6.99383,2976.73,156.23,1.98,1.86,-89.3,-0.46,19.12,19.83,02a59098o0547o
588,59098.473354,20.838,1.026,17,17,o,0,1.1,329.82726,-6.99383,2957.45,116.88,2.17,2.01,-74.2,-0.449,19.03,19.73,02a59098o0554o
589,59098.480717,-21.391,1.5,-10,15,o,0,1.59,329.82726,-6.99383,3017.7,197.28,2.04,1.84,-63.3,-0.482,19.07,19.69,02a59098o0570o
590,59098.494167,-22.673,6.714,-3,21,o,0,0.91,329.82726,-6.99383,3037.87,76.43,2.28,1.95,-50.9,-0.392,19.03,19.67,02a59098o0599o
591,59100.385747,21.383,0.963,10,10,o,0,1.14,329.82726,-6.99383,4518.76,8638.52,1.96,1.8,-28.2,-0.417,19.62,20.57,01a59100o0374o
592,59100.389431,-21.6,0.886,-8,7,o,0,2.02,329.82726,-6.99383,4539.8,8677.14,1.97,1.74,-18.4,-0.416,19.62,20.56,01a59100o0382o
593,59100.395434,-20.451,0.482,-24,12,o,0,0.76,329.82726,-6.99383,4482.65,8599.21,1.92,1.76,-29.9,-0.423,19.6,20.52,01a59100o0395o
594,59100.406121,-26.778,184.0,0,13,o,0,0.68,329.82726,-6.99383,4465.89,8715.44,1.91,1.72,-16.5,-0.42,19.6,20.47,01a59100o0418o
595,59101.414116,-20.363,0.489,-26,13,o,0,1.05,329.82726,-6.99383,2064.4,10369.93,2.32,1.97,-56.6,-0.463,19.45,20.6,02a59101o0424o
596,59101.41734,21.944,2.212,6,13,o,0,1.3,329.82726,-6.99383,2045.72,10332.02,2.37,1.95,-53.0,-0.465,19.46,20.59,02a59101o0431o
597,59101.423806,-23.093,6.158,-2,13,o,0,1.29,329.82726,-6.99383,2103.92,10407.18,2.27,1.89,-58.6,-0.448,19.44,20.57,02a59101o0445o
598,59101.434609,-21.322,1.129,-11,12,o,0,1.52,329.82726,-6.99383,2126.38,10292.95,2.34,1.96,-57.1,-0.465,19.43,20.54,02a59101o0468o
599,59102.38007,-19.671,0.155,-49,8,c,0,1.93,329.82726,-6.99383,2072.6,10366.94,2.5,2.27,-32.3,-0.415,19.74,21.67,02a59102o0360c
