         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57830.417152 19.302877      NaN      -1     23 o    0   1.17 142.43975 3.06937  3757.62  3273.11  3.66  3.20 -77.1 -0.469    18.98 20.69 01a57830o0387o   -0.043478
57832.361385 18.796518      NaN      44     22 o    0   1.18 142.43975 3.06937  2730.13  4832.94  3.61  3.33 -79.3 -0.477    19.16 21.01 01a57832o0285o    2.000000
57832.376826 18.574166      NaN      60     25 o    0   0.97 142.43975 3.06937  2750.46  4872.15  3.85  3.42 -83.4 -0.466    19.12 21.01 01a57832o0316o    2.400000
57832.391731 18.806434      NaN      37     24 o    0   1.12 142.43975 3.06937  2692.45  4795.47  4.07  3.54 -82.5 -0.454    19.06 20.98 01a57832o0346o    1.541667
57832.399488 19.351140      NaN       6     20 o    0   1.11 142.43975 3.06937  8925.65  7953.50  3.50  3.11 -75.6 -0.424    18.72 20.17 02a57832o0347o    0.300000
57832.407198 19.241693      NaN       4     23 o    0   1.14 142.43975 3.06937  2672.61  4912.77  3.84  3.39 -81.7 -0.470    19.10 20.94 01a57832o0377o    0.173913
57832.417654 19.271854      NaN      14     19 o    0   0.93 142.43975 3.06937  8905.22  7913.62  3.46  3.04 -75.2 -0.419    18.72 20.13 02a57832o0381o    0.736842
57832.435588 19.454622      NaN     -12     20 o    0   1.18 142.43975 3.06937  8964.86  7991.29  3.41  2.99 -73.7 -0.426    18.69 20.06 02a57832o0415o   -0.600000
57832.453480 18.921935      NaN      38     20 o    0   1.30 142.43975 3.06937  8987.97  7872.77  3.74  3.50  -5.6 -0.464    18.52 19.90 02a57832o0449o    1.900000
57832.471387 18.816441      NaN      33     25 o    0   0.87 142.43975 3.06937  8951.61  7931.25  3.48  3.15 -74.7 -0.436    18.50 19.72 02a57832o0483o    1.320000
57833.357244 19.014394      NaN      -8     30 o    0   0.93 142.43975 3.06937  1993.54  2337.13  4.10  3.26 -81.1 -0.523    19.19 21.05 01a57833o0277o   -0.266667
57833.372680 18.720295      NaN      28     30 o    0   0.88 142.43975 3.06937  2014.16  2376.72  4.28  3.39 -82.4 -0.513    19.16 21.05 01a57833o0308o    0.933333
57833.387998 19.128787      NaN     -43     27 o    0   1.20 142.43975 3.06937  1955.39  2299.45  4.24  3.34 -82.7 -0.503    19.18 21.05 01a57833o0339o   -1.592593
