         MJD         m       dm   uJy  duJy F  err   chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57903.528252 19.894850      NaN    10    10 c    0    0.83 253.49 -9.70757  7964.91  9894.98 2.70 2.59   6.0 -0.424    19.68 21.30 02a57903o0572c   1.000000
57903.561550 20.207197      NaN    -4    10 c    0    1.07 253.49 -9.70757  7951.52  9831.24 2.65 2.51   8.8 -0.436    19.66 21.23 02a57903o0637c  -0.400000
57904.440332 19.950541      NaN     2    12 c    0    1.04 253.49 -9.70757  8942.84   265.59 3.14 2.47 -51.6 -0.367    19.67 21.42 02a57904o0210c   0.166667
57904.461208 20.103715      NaN     3    10 c    0    0.94 253.49 -9.70757  1556.22 10220.48 2.35 2.29   5.8 -0.467    19.71 21.42 02a57904o0250c   0.300000
57904.483340 19.696897      NaN     6    14 c    0    0.66 253.49 -9.70757  8980.06   308.71 3.13 2.42 -51.8 -0.369    19.67 21.44 02a57904o0292c   0.428571
57904.494234 19.609992      NaN    16    12 c    0    0.98 253.49 -9.70757  9002.07   188.06 3.19 2.44 -50.9 -0.364    19.66 21.44 02a57904o0313c   1.333333
57904.514546 20.009244      NaN    -2    12 c    0    1.27 253.49 -9.70757  8964.10   246.19 3.26 2.51 -49.6 -0.366    19.64 21.40 02a57904o0350c  -0.166667
57982.320449 19.894850      NaN    13     9 c    0    1.63 253.49 -9.70757  6243.05  9934.28 2.51 2.46  34.8 -0.436    19.72 21.27 02a57982o0181c   1.444444
57982.324433 20.009244      NaN    -5    12 c    0    1.09 253.49 -9.70757  9251.73   275.67 2.59 2.44  73.7 -0.414    19.77 21.37 02a57982o0189c  -0.416667
57982.329543 19.766969      NaN    15    10 c    0    1.07 253.49 -9.70757  6226.60  9893.68 2.49 2.45   6.5 -0.435    19.72 21.28 02a57982o0199c   1.500000
57982.333668 20.009244      NaN    -7    12 c    0    1.08 253.49 -9.70757  9235.75   234.81 2.56 2.43  72.5 -0.410    19.77 21.37 02a57982o0207c  -0.583333
57982.338211 20.207197      NaN    -4    10 c    0    1.28 253.49 -9.70757  6286.54  9970.91 2.51 2.42   9.4 -0.437    19.71 21.25 02a57982o0216c  -0.400000
57982.342473 20.009244      NaN     0    12 c    0    1.07 253.49 -9.70757  9294.96   312.34 2.57 2.44  72.4 -0.412    19.74 21.32 02a57982o0224c   0.000000
57982.347553 19.766969      NaN     9    12 c    0    0.98 253.49 -9.70757  6307.15  9852.63 2.51 2.41  -7.8 -0.438    19.67 21.21 02a57982o0234c   0.750000
57982.351802 19.652575      NaN    14    12 c    0    0.84 253.49 -9.70757  9317.02   194.65 2.60 2.43  63.6 -0.415    19.69 21.30 02a57982o0242c   1.166667
57986.307799 13.898806      NaN -2375  3337 c    0    0.86 253.49 -9.70757  2443.41  2512.64 2.52 2.43  41.6 -0.414    15.32 16.85 02a57986o0133c  -0.711717
57986.316960 18.623526      NaN    -9    43 c    0    0.84 253.49 -9.70757  2426.87  2472.39 2.47 2.35  70.6 -0.392    17.76 19.26 02a57986o0151c  -0.209302
57986.325692 19.169763      NaN     6    24 c    0    0.94 253.49 -9.70757  2487.32  2550.23 2.48 2.37  67.4 -0.398    18.90 20.47 02a57986o0168c   0.250000
57986.334995 19.549093      NaN     7    16 c    0    1.09 253.49 -9.70757  2507.82  2433.67 2.50 2.39  74.1 -0.402    18.99 20.52 02a57986o0186c   0.437500
58222.597590 19.569016      NaN    12    14 c    0    1.17 253.49 -9.70757  8202.94  3987.18 2.58 2.48  85.4 -0.416    19.18 20.78 02a58222o0023c   0.857143
58222.607774 19.454622      NaN     3    19 c    0    1.56 253.49 -9.70757  8183.31  3949.55 2.62 2.50 -89.8 -0.416    18.90 20.49 02a58222o0044c   0.157895
58222.617951 19.609992      NaN    13    13 c    0    1.31 253.49 -9.70757  8240.94  4026.99 2.64 2.50  78.2 -0.428    19.24 20.87 02a58222o0065c   1.000000
58222.628097 19.766969      NaN   -23    15 c    0    1.25 253.49 -9.70757  8261.23  3909.90 2.61 2.48  74.4 -0.432    19.25 20.71 02a58222o0086c  -1.533333
58226.607104 16.624774      NaN   303   170 c    0    1.54 253.49 -9.70757   799.92  4539.12 2.40 2.32  24.6 -0.445    16.29 17.71 02a58226o0602c   1.782353
58226.617621 16.834813      NaN   112   186 c    0    1.03 253.49 -9.70757   783.64  4498.50 2.40 2.33  25.2 -0.432    16.53 17.92 02a58226o0624c   0.602151
58226.618736 16.699396      NaN  -210   253 c    0    0.95 253.49 -9.70757 10510.06  4536.57 2.55 2.46  89.8 -0.473    16.67 18.08 02a58226o0626c  -0.830040
58226.628798 17.533643      NaN   145    69 c    0    1.32 253.49 -9.70757   844.13  4575.83 2.42 2.36  22.4 -0.433    17.30 18.59 02a58226o0647c   2.101449
