,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
510,59540.51018,19.884,0.563,40,23,o,0,0.8,66.66112,-11.89603,5630.09,3666.68,2.86,2.79,-32.0,-0.45,18.67,19.42,01a59540o0725o
511,59540.51554,-21.14,1.779,-13,23,o,0,1.11,66.66112,-11.89603,5612.88,3782.0,2.82,2.78,-23.8,-0.455,18.67,19.41,01a59540o0736o
512,59542.463963,21.662,1.603,8,13,o,0,1.31,66.66112,-11.89603,2860.36,8981.17,2.14,2.11,-89.3,-0.441,19.25,20.09,02a59542o0620o
513,59542.467197,23.673,13.083,1,16,o,0,1.08,66.66112,-11.89603,2841.99,8942.19,2.08,2.04,-73.3,-0.449,19.28,20.08,02a59542o0627o
514,59542.502465,20.402,0.721,25,18,o,0,0.93,66.66112,-11.89603,2898.18,9022.81,2.05,1.99,-79.2,-0.455,19.24,20.01,02a59542o0703o
515,59542.530696,20.447,0.614,24,15,o,0,0.98,66.66112,-11.89603,2918.08,8907.15,2.07,2.0,-73.1,-0.45,19.2,19.87,02a59542o0763o
516,59543.412748,22.485,3.895,4,14,o,0,1.09,66.66112,-11.89603,4872.36,6882.11,2.92,2.81,-34.7,-0.46,19.14,20.44,01a59543o0351o
517,59543.414593,-23.448,9.75,-2,15,o,0,1.05,66.66112,-11.89603,4852.15,6842.75,2.91,2.79,28.8,-0.445,19.17,20.43,01a59543o0355o
518,59543.449889,20.582,0.709,21,15,o,0,0.85,66.66112,-11.89603,4915.31,6909.66,2.82,2.71,-54.7,-0.467,19.19,20.39,01a59543o0430o
519,59543.455313,22.944,7.917,2,19,o,0,0.62,66.66112,-11.89603,5615.23,3785.19,3.05,2.86,49.5,-0.437,19.14,20.39,01a59543o0441o
520,59544.431801,-22.662,5.4,-3,17,o,0,0.68,66.66112,-11.89603,9524.63,9769.59,3.13,2.89,-64.8,-0.427,19.23,20.54,01a59544o0525o
